# pack v2 - ASCILINE-hybrid - docs/EMISION-V2.md
# fuente	6e78efa38e10e926473a8bd9073b4108107e905c1f73f6dc2edaf3a974cc6563	TKN-2443-GANADOR- 15seg-.mp4
# fuente_color	tv bt709 bt709 bt709
# base	1280x720	20 fps	308 cuadros
# receta	--ancho 1280 --fps 20 --vp9-crf 18 --vp9-cpu 2 --sin-altref --solo-vp9 --h264-crf 21 --h264-bframes 3 --h264-refs 4 --techo 20000000
# techo	20000000
# id	role	mime	file	bytes	sha256	note
v2-vp9	v2	video/webm; codecs="vp9, opus"	v2-vp9.webm	6775111	50da5f6f45808e9856956f6efd9a5f838426ad9645a3fb8f72d2b4d4bb05b417	VP9 crf 18 cpu-used 2 dos pasadas sin alt-ref (como v1) lag 25 + Opus 64k; 709 tv; 20 fps; GOP 20; ssim 0.990212 psnr 45.799870; 308 cuadros; 44 s
v2-ambiente	radio	audio/mp4	v2-ambiente.m4a	614020	48885b2d200e7b7e49d6ccd8f54a247933d2a7fcc3e8f671bb3ebd0eadf366f8	la pista de la fuente (aac) tal cual, para <audio> aparte
v2-dash-vp9	stream-v2	video/webm; codecs="vp9"	dash-v2-vp9/manifest.mpd	6664107	039364a6a89e9eee695ac8dfbec401a234873929fc0698e9c92096f661ef9f6e	WebM segmentado solo video, remux de v2-vp9; 16 segmentos
