# pack v2 - ASCILINE-hybrid - docs/EMISION-V2.md
# fuente	6e78efa38e10e926473a8bd9073b4108107e905c1f73f6dc2edaf3a974cc6563	TKN-2443-GANADOR- 15seg-.mp4
# fuente_color	tv bt709 bt709 bt709
# base	1280x720	15 fps	231 cuadros
# receta	--ancho 1280 --fps 15 --vp9-crf 18 --vp9-cpu 2 --solo-vp9 --h264-crf 21 --h264-bframes 3 --h264-refs 4 --techo 20000000
# techo	20000000
# id	role	mime	file	bytes	sha256	note
v2-vp9	v2	video/webm; codecs="vp9, opus"	v2-vp9.webm	6011270	1c9b383c93e529318d48e671803ad4fb10a0d3031a22566984f691872d97b779	VP9 crf 18 cpu-used 2 dos pasadas alt-ref lag 25 tpl + Opus 64k; 709 tv; 15 fps; GOP 15; ssim 0.991628 psnr 46.826814; 231 cuadros; 53 s
v2-ambiente	radio	audio/mp4	v2-ambiente.m4a	614020	48885b2d200e7b7e49d6ccd8f54a247933d2a7fcc3e8f671bb3ebd0eadf366f8	la pista de la fuente (aac) tal cual, para <audio> aparte
v2-dash-vp9	stream-v2	video/webm; codecs="vp9"	dash-v2-vp9/manifest.mpd	5900286	6c2b71161be17b83e534b39a39cd771a8487d8e9564c1c408996a47f7fac956e	WebM segmentado solo video, remux de v2-vp9; 16 segmentos
